T,r,r_over_g,wg,liar_win_rate,rumor_user_win_rate,tie_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
100,0,0.0,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,6.47
100,1,0.2,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.62
100,2,0.4,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,8.25
100,3,0.6,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,8.01
100,4,0.8,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.63
100,5,1.0,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.42
100,6,1.2,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.2
100,7,1.4,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.18
100,8,1.6,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.05
100,9,1.8,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,6.94
100,10,2.0,0.6410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.04
200,0,0.0,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,6.35
200,1,0.2,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,11.49
200,2,0.4,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,9.45
200,3,0.6,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,8.39
200,4,0.8,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.78
200,5,1.0,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.47
200,6,1.2,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.42
200,7,1.4,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.22
200,8,1.6,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.11
200,9,1.8,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,7.1
200,10,2.0,1.2820512820512822,1.0,0.0,0.0,100,100,True,1.0,6.93
300,0,0.0,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,6.33
300,1,0.2,1.9230769230769231,0.87,0.13,0.0,100,100,True,0.87,40.8
300,2,0.4,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,10.59
300,3,0.6,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,8.55
300,4,0.8,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.94
300,5,1.0,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.65
300,6,1.2,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.35
300,7,1.4,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.27
300,8,1.6,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.11
300,9,1.8,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.0
300,10,2.0,1.9230769230769231,1.0,0.0,0.0,100,100,True,1.0,7.03
400,0,0.0,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,6.35
400,1,0.2,2.5641025641025643,0.53,0.47,0.0,100,100,True,0.53,104.18
400,2,0.4,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,10.28
400,3,0.6,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,8.69
400,4,0.8,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.91
400,5,1.0,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.54
400,6,1.2,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.3
400,7,1.4,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.22
400,8,1.6,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.1
400,9,1.8,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.1
400,10,2.0,2.5641025641025643,1.0,0.0,0.0,100,100,True,1.0,7.05
600,0,0.0,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,6.32
600,1,0.2,3.8461538461538463,0.14,0.86,0.0,100,100,True,0.14,175.27
600,2,0.4,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,10.9
600,3,0.6,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,8.93
600,4,0.8,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.93
600,5,1.0,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.63
600,6,1.2,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.36
600,7,1.4,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.26
600,8,1.6,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.22
600,9,1.8,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.01
600,10,2.0,3.8461538461538463,1.0,0.0,0.0,100,100,True,1.0,7.03
800,0,0.0,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,6.27
800,1,0.2,5.128205128205129,0.03,0.97,0.0,100,100,True,0.03,194.77
800,2,0.4,5.128205128205129,0.99,0.01,0.0,100,100,True,0.99,13.08
800,3,0.6,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,8.77
800,4,0.8,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.94
800,5,1.0,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.56
800,6,1.2,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.41
800,7,1.4,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.28
800,8,1.6,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.12
800,9,1.8,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,7.1
800,10,2.0,5.128205128205129,1.0,0.0,0.0,100,100,True,1.0,6.97
1000,0,0.0,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,6.2
1000,1,0.2,6.410256410256411,0.03,0.97,0.0,100,100,True,0.03,194.62
1000,2,0.4,6.410256410256411,0.98,0.02,0.0,100,100,True,0.98,15.1
1000,3,0.6,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,8.82
1000,4,0.8,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,8.09
1000,5,1.0,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.65
1000,6,1.2,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.31
1000,7,1.4,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.24
1000,8,1.6,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.11
1000,9,1.8,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,7.11
1000,10,2.0,6.410256410256411,1.0,0.0,0.0,100,100,True,1.0,6.94
1200,0,0.0,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,6.28
1200,1,0.2,7.6923076923076925,0.02,0.98,0.0,100,100,True,0.02,196.35
1200,2,0.4,7.6923076923076925,0.99,0.01,0.0,100,100,True,0.99,13.1
1200,3,0.6,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,8.72
1200,4,0.8,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,8.0
1200,5,1.0,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.68
1200,6,1.2,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.29
1200,7,1.4,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.26
1200,8,1.6,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.12
1200,9,1.8,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.09
1200,10,2.0,7.6923076923076925,1.0,0.0,0.0,100,100,True,1.0,7.03
1400,0,0.0,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,6.32
1400,1,0.2,8.974358974358974,0.04,0.96,0.0,100,100,True,0.04,192.73
1400,2,0.4,8.974358974358974,0.98,0.02,0.0,100,100,True,0.98,15.27
1400,3,0.6,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,8.83
1400,4,0.8,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.92
1400,5,1.0,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.58
1400,6,1.2,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.43
1400,7,1.4,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.2
1400,8,1.6,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.19
1400,9,1.8,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,7.02
1400,10,2.0,8.974358974358974,1.0,0.0,0.0,100,100,True,1.0,6.99
1600,0,0.0,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,6.22
1600,1,0.2,10.256410256410257,0.02,0.98,0.0,100,100,True,0.02,196.44
1600,2,0.4,10.256410256410257,0.99,0.01,0.0,100,100,True,0.99,13.03
1600,3,0.6,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,8.66
1600,4,0.8,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.95
1600,5,1.0,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.58
1600,6,1.2,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.45
1600,7,1.4,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.24
1600,8,1.6,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.12
1600,9,1.8,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,7.02
1600,10,2.0,10.256410256410257,1.0,0.0,0.0,100,100,True,1.0,6.97
1800,0,0.0,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,6.24
1800,1,0.2,11.538461538461538,0.01,0.99,0.0,100,100,True,0.01,198.14
1800,2,0.4,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,11.64
1800,3,0.6,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,8.87
1800,4,0.8,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.98
1800,5,1.0,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.7
1800,6,1.2,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.43
1800,7,1.4,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.31
1800,8,1.6,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.11
1800,9,1.8,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.05
1800,10,2.0,11.538461538461538,1.0,0.0,0.0,100,100,True,1.0,7.03
2000,0,0.0,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,6.28
2000,1,0.2,12.820512820512821,0.0,1.0,0.0,100,100,True,0.0,200.0
2000,2,0.4,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,11.79
2000,3,0.6,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,8.79
2000,4,0.8,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,8.04
2000,5,1.0,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.69
2000,6,1.2,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.31
2000,7,1.4,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.18
2000,8,1.6,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.15
2000,9,1.8,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.09
2000,10,2.0,12.820512820512821,1.0,0.0,0.0,100,100,True,1.0,7.01
